"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:06 GMT 2023","5303","Surefire suite","Surefire test","UserTest","UserTest","negativeRegister","Register To The Site Unsuccessfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:05 GMT 2023","5270","Surefire suite","Surefire test","UserTest","UserTest","positiveRegister","Register To The Site Successfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:07 GMT 2023","6830","Surefire suite","Surefire test","TodoTest","TodoTest","deleteTodo","deleting Todo Successfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:07 GMT 2023","6538","Surefire suite","Surefire test","TodoTest","TodoTest","positiveAddTodo","Adding Todo Successfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:06 GMT 2023","5427","Surefire suite","Surefire test","UserTest","UserTest","positiveLogin","Login To The Site Successfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:07 GMT 2023","6411","Surefire suite","Surefire test","TodoTest","TodoTest","negativeAddTodo","Adding Todo Unsuccessfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:07 GMT 2023","6836","Surefire suite","Surefire test","TodoTest","TodoTest","getTodo","Getting Todo Successfully",""
"passed","Fri Jul 07 06:25:00 GMT 2023","Fri Jul 07 06:25:05 GMT 2023","5294","Surefire suite","Surefire test","UserTest","UserTest","negaiveLogin","Login To The Site Unsuccessfully",""
